timestamp_ms,vertical_name,records_count,status_code,response_time_ms
2025-10-29T00:21:35.814,waste_management,0,0,112608.65
2025-10-29T00:21:35.815,water_quality,0,0,112587.02
2025-10-29T00:21:35.815,water_quality,0,0,112046.77
2025-10-29T00:21:35.833,water_quality,0,0,104484.84
2025-10-29T00:21:35.834,water_quality,0,0,107488.2
2025-10-29T00:21:35.835,water_quality,0,0,108141.89
2025-10-29T00:21:35.835,water_quality,0,0,107676.96
2025-10-29T00:21:37.000,water_quality,0,0,104428.86
2025-10-29T00:21:37.001,waste_management,0,0,109329.84
2025-10-29T00:21:37.001,water_quality,0,0,109297.67
2025-10-29T00:21:37.002,waste_management,0,0,109390.78
2025-10-29T00:21:37.002,waste_management,0,0,109564.86
2025-10-29T00:21:37.004,water_quality,0,0,108937.54
2025-10-29T00:21:37.005,water_quality,0,0,104550.76
2025-10-29T00:21:37.006,waste_management,0,0,104810.67
2025-10-29T00:21:37.013,waste_management,0,0,104052.78
2025-10-29T00:21:37.013,water_quality,0,0,111848.64
2025-10-29T00:21:37.014,water_quality,0,0,107509.33
2025-10-29T00:21:37.014,waste_management,0,0,107661.7
2025-10-29T00:21:37.014,water_quality,0,0,107456.71
2025-10-29T00:21:37.320,water_quality,92,200,48.4
2025-10-29T00:21:37.397,water_quality,91,200,78.68
2025-10-29T00:23:37.262,waste_management,0,0,119810.69
2025-10-29T00:23:37.268,water_quality,0,0,119798.97
2025-10-29T00:23:37.269,waste_management,0,0,121453.15
2025-10-29T00:23:37.270,waste_management,0,0,121451.83
2025-10-29T00:23:37.270,water_quality,0,0,121451.0
2025-10-29T00:23:37.270,waste_management,0,0,121449.55
2025-10-29T00:23:37.271,water_quality,0,0,121448.68
2025-10-29T00:23:37.271,water_quality,0,0,121447.29
2025-10-29T00:23:37.271,waste_management,0,0,121446.34
2025-10-29T00:23:37.272,water_quality,0,0,121445.76
2025-10-29T00:23:37.278,water_quality,0,0,121082.15
2025-10-29T00:23:37.282,water_quality,0,0,120885.64
2025-10-29T00:23:37.282,waste_management,0,0,120866.93
2025-10-29T00:23:37.282,water_quality,0,0,120645.26
2025-10-29T00:23:37.282,water_quality,0,0,120355.43
2025-10-29T00:23:37.284,waste_management,0,0,120269.75
2025-10-29T00:23:37.284,waste_management,0,0,120268.98
2025-10-29T00:23:37.284,water_quality,0,0,119876.51
2025-10-29T00:23:37.286,waste_management,0,0,119183.48
2025-10-29T00:23:37.288,water_quality,0,0,119295.75
2025-10-29T00:23:37.288,waste_management,0,0,119937.64
2025-10-29T00:23:38.051,waste_management,0,200,34.35
2025-10-29T00:23:38.177,waste_management,0,200,35.76
2025-10-29T00:23:38.246,water_quality,76,200,54.04
2025-10-29T00:23:38.249,water_quality,76,200,56.75
2025-10-29T00:23:38.457,water_quality,64,200,77.99
2025-10-29T00:23:38.608,waste_management,0,200,37.41
2025-10-29T00:23:38.696,water_quality,55,200,23.07
2025-10-29T00:44:45.555822,water_quality,0,0,79917.22
2025-10-29T00:44:45.556931,water_quality,0,0,79270.84
2025-10-29T00:44:45.557868,water_quality,0,0,75397.49
2025-10-29T00:44:45.558094,waste_management,0,0,72737.44
2025-10-29T00:44:45.558331,water_quality,0,0,74520.77
2025-10-29T00:44:45.559614,waste_management,0,0,72818.76
2025-10-29T00:44:45.576328,water_quality,0,0,73003.19
2025-10-29T00:44:45.576701,water_quality,0,0,76955.23
2025-10-29T00:44:45.577031,waste_management,0,0,72893.58
2025-10-29T00:44:45.577327,waste_management,0,0,72846.09
2025-10-29T00:44:45.579635,water_quality,0,0,72951.18
2025-10-29T00:44:45.582505,waste_management,0,0,80335.41
