2025-10-29T17:54:14.836451,1,Node_waste_management_0tj5d,17.395566,78.371737,BHEL,tds,AE-WQ01,CoAP,00:15:00,200,12
2025-10-29T17:54:14.842742,1,Node_water_quality_w6wjx,17.424365,78.376117,Chandanagar,tds,AE-WM01,MQTT,00:05:00,200,9
2025-10-29T17:54:14.837537,1,Node_waste_management_wacry,17.40066,78.364562,IIIT Campus,tds,AE-WQ01,CoAP,00:15:00,200,15
2025-10-29T17:54:14.838530,1,Node_waste_management_wbdiw,17.428853,78.33675,Kukatpally,tds,AE-WQ01,CoAP,00:15:00,200,15
2025-10-29T17:54:14.841644,1,Node_water_quality_cjim4,17.42783,78.360563,Hitech City,tds,AE-WM01,MQTT,00:05:00,200,12
2025-10-29T17:54:14.839920,1,Node_waste_management_eq2dc,17.394734,78.378315,Kondapur,tds,AE-WQ01,MQTT,00:01:00,200,14
2025-10-29T17:54:14.846682,1,Node_water_quality_rt1yb,17.422855,78.369426,Hitech City,tds,AE-WM01,MQTT,00:01:00,200,17
2025-10-29T17:54:14.847930,1,Node_water_quality_o9iz6,17.431809,78.382838,Chandanagar,tds,AE-WM01,CoAP,00:01:00,200,17
2025-10-29T17:54:14.851078,1,Node_water_quality_5i6w5,17.397245,78.370686,IIIT Campus,tds,AE-WM01,CoAP,00:01:00,200,18
2025-10-29T17:54:14.850013,1,Node_water_quality_5bf84,17.431396,78.390711,JNTU,tds,AE-WM01,MQTT,00:05:00,200,20
2025-10-29T17:54:15.169520,2,Node_waste_management_ieq0v,17.39107,78.370356,Miyapur,tds,AE-WQ01,CoAP,00:10:00,200,6
2025-10-29T17:54:15.217328,2,Node_water_quality_p1t0b,17.4316,78.366153,Chandanagar,tds,AE-WM01,CoAP,00:10:00,200,17
2025-10-29T17:54:15.237575,2,Node_waste_management_r0qqq,17.388482,78.363551,Gachibowli,tds,AE-WQ01,CoAP,00:05:00,200,13
2025-10-29T17:54:15.276752,2,Node_water_quality_gous8,17.390259,78.362268,Gachibowli,tds,AE-WM01,CoAP,00:01:00,200,10
2025-10-29T17:54:15.312436,2,Node_waste_management_owlrh,17.42273,78.341343,Chandanagar,tds,AE-WQ01,MQTT,00:05:00,200,6
2025-10-29T17:54:15.326753,2,Node_waste_management_tipx7,17.432917,78.360947,Miyapur,tds,AE-WQ01,CoAP,00:01:00,200,8
2025-10-29T17:54:15.344560,2,Node_waste_management_58cbd,17.419779,78.34242,Kondapur,tds,AE-WQ01,CoAP,00:15:00,200,7
2025-10-29T17:54:15.359660,2,Node_waste_management_c5fud,17.394255,78.393174,BHEL,tds,AE-WQ01,CoAP,00:05:00,200,7
2025-10-29T17:54:15.424003,2,Node_water_quality_cir6y,17.418226,78.343902,Kukatpally,tds,AE-WM01,MQTT,00:05:00,200,20
2025-10-29T17:54:15.452438,2,Node_waste_management_bc14e,17.432782,78.375261,Gachibowli,tds,AE-WQ01,MQTT,00:01:00,200,25
2025-10-29T17:54:15.608148,3,Node_water_quality_11rfs,17.391155,78.378101,Kondapur,tds,AE-WM01,CoAP,00:05:00,200,48
2025-10-29T17:54:15.653799,1,Node_water_quality_0xmpv,17.430614,78.369347,IIIT Campus,tds,AE-WM01,CoAP,00:10:00,200,22
2025-10-29T17:54:15.660480,1,Node_waste_management_fkclx,17.41613,78.384829,IIIT Campus,tds,AE-WQ01,CoAP,00:10:00,200,24
