timestamp_ms,node_id,node_name,latitude,longitude,area,sensor_type,domain,protocol,frequency,status_code,response_time_ms
2025-10-28T23:07:54.479414,1,Node_water_quality_nq5rq,17.41085,78.346758,Miyapur,tds,AE-WQ01,MQTT,00:10:00,200,300
2025-10-28T23:07:54.770764,1,Node_water_quality_c5bvc,17.406912,78.361364,BHEL,tds,AE-WQ01,CoAP,00:15:00,200,236
2025-10-28T23:07:54.777406,1,Node_waste_management_tgzox,17.415969,78.352653,Kothaguda,tds,AE-WM01,CoAP,00:15:00,200,269
2025-10-28T23:07:55.340569,1,Node_water_quality_5kbsu,17.43997,78.360113,Kondapur,tds,AE-WQ01,MQTT,00:01:00,200,246
2025-10-28T23:07:55.390096,1,Node_waste_management_a96ag,17.407155,78.360894,Kondapur,tds,AE-WM01,CoAP,00:10:00,200,604
2025-10-28T23:07:55.453589,1,Node_waste_management_dxc8o,17.427851,78.387714,IIIT Campus,tds,AE-WM01,MQTT,00:01:00,200,667
2025-10-28T23:07:55.598541,1,Node_waste_management_qbd6d,17.396218,78.355565,JNTU,tds,AE-WM01,CoAP,00:10:00,200,616
2025-10-28T23:07:55.620997,1,Node_waste_management_gnkd5,17.404062,78.354478,Hitech City,tds,AE-WM01,CoAP,00:05:00,200,616
2025-10-28T23:07:55.673646,1,Node_water_quality_0q3oq,17.443942,78.348339,JNTU,tds,AE-WQ01,MQTT,00:01:00,200,596
2025-10-28T23:07:55.666932,1,Node_waste_management_sy6pd,17.405686,78.387038,Miyapur,tds,AE-WM01,CoAP,00:05:00,200,719
2025-10-28T23:07:55.266393,2,Node_water_quality_pqkrp,17.418012,78.387355,Gachibowli,tds,AE-WQ01,MQTT,00:01:00,200,1153
2025-10-28T23:07:56.075044,1,Node_waste_management_kg7wx,17.403177,78.377143,Kondapur,tds,AE-WM01,MQTT,00:15:00,200,379
2025-10-28T23:07:56.106659,2,Node_water_quality_bro0b,17.437655,78.346718,JNTU,tds,AE-WQ01,CoAP,00:15:00,200,350
