timestamp_ms,node_id,node_name,temperature,status_code,response_time_ms,success
2025-10-29T00:19:52.578426,8757,Node_water_quality_2zygu,31.53,200,4669.01,True
2025-10-29T00:21:35.833775,8828,Node_water_quality_wzsym,28.87,0,110853.81,False
2025-10-29T00:21:35.834983,9032,Node_water_quality_rcuay,34.08,0,103256.22,False
2025-10-29T00:21:35.836045,8965,Node_waste_management_p7ymz,21.9,0,107815.61,False
2025-10-29T00:21:35.836602,9252,Node_water_quality_vr06h,20.65,0,107316.63,False
2025-10-29T00:21:35.837090,8701,Node_waste_management_5dbbk,31.88,0,105734.41,False
2025-10-29T00:21:37.002982,9375,Node_waste_management_k5v6l,29.52,0,109351.93,False
2025-10-29T00:21:37.004694,9300,Node_waste_management_tqaoq,30.87,0,108145.38,False
2025-10-29T00:21:37.013579,9045,Node_waste_management_xd4is,25.22,0,111658.57,False
2025-10-29T00:21:37.349768,8690,Node_water_quality_utoyc,26.65,200,41.87,True
2025-10-29T00:21:37.355894,8948,Node_water_quality_uxev1,34.41,200,43.8,True
2025-10-29T00:21:37.487205,9010,Node_waste_management_ytiiu,21.72,200,1652.12,True
2025-10-29T00:21:37.496460,9289,Node_water_quality_6tsky,22.88,200,1353.34,True
2025-10-29T00:23:37.260871,8778,Node_water_quality_io11s,23.9,0,119819.6,False
2025-10-29T00:23:37.263395,9375,Node_waste_management_k5v6l,26.71,0,119807.39,False
2025-10-29T00:23:37.272833,8892,Node_water_quality_moh0y,29.49,0,121438.93,False
2025-10-29T00:23:37.274076,9595,Node_waste_management_ce3uf,34.11,0,119786.66,False
2025-10-29T00:23:37.275155,9284,Node_water_quality_0x9rt,22.84,0,121439.03,False
2025-10-29T00:23:37.276163,9341,Node_water_quality_3rm89,27.66,0,121439.48,False
2025-10-29T00:23:37.277054,8863,Node_waste_management_he4ue,21.55,0,121439.88,False
2025-10-29T00:23:37.277697,9242,Node_water_quality_mtash,30.18,0,119781.04,False
2025-10-29T00:23:37.278643,8741,Node_waste_management_6z72r,27.53,0,121066.36,False
2025-10-29T00:23:37.279423,9504,Node_water_quality_fnjwu,24.91,0,121061.79,False
2025-10-29T00:23:37.280407,9220,Node_waste_management_csmg4,20.3,0,121059.71,False
2025-10-29T00:23:37.280974,8741,Node_waste_management_6z72r,26.37,0,121048.7,False
2025-10-29T00:23:37.281514,8928,Node_water_quality_z74xv,21.64,0,120942.16,False
2025-10-29T00:23:37.282732,9459,Node_water_quality_qevk7,26.86,0,120279.59,False
2025-10-29T00:23:37.283406,8969,Node_waste_management_mtlqw,34.76,0,120278.57,False
2025-10-29T00:23:37.283962,9346,Node_water_quality_nim3k,20.96,0,120270.31,False
2025-10-29T00:23:37.284939,9407,Node_water_quality_k63z2,26.91,0,119861.72,False
2025-10-29T00:23:37.285380,9157,Node_waste_management_yu9mc,28.45,0,119858.07,False
2025-10-29T00:23:37.285818,9520,Node_water_quality_iu2j4,28.49,0,119851.9,False
2025-10-29T00:23:37.286716,9317,Node_waste_management_3edk2,22.55,0,119918.46,False
2025-10-29T00:23:37.288079,8819,Node_waste_management_honms,26.14,0,119914.88,False
2025-10-29T00:23:38.736158,9247,Node_waste_management_9gm3d,28.23,200,121225.94,True
2025-10-29T00:43:32.821387,8693,Node_waste_management_w791k,27.05,200,9014.74,True
2025-10-29T00:44:45.556535,9560,Node_water_quality_7ssjz,26.56,0,79325.15,False
2025-10-29T00:44:45.557275,9249,Node_waste_management_8me3n,20.63,0,81189.39,False
2025-10-29T00:44:45.557607,9162,Node_water_quality_x78vz,32.19,0,81091.96,False
2025-10-29T00:44:45.558613,9120,Node_waste_management_kqy3g,23.92,0,75332.32,False
2025-10-29T00:44:45.575611,8877,Node_waste_management_zk3yj,34.93,0,76809.79,False
2025-10-29T00:44:45.582912,8941,Node_waste_management_3ihoq,27.98,0,80361.66,False
2025-10-29T00:44:45.594226,9305,Node_water_quality_ndpmj,25.44,0,72217.06,False
2025-10-29T00:44:46.419662,9039,Node_waste_management_kim90,29.84,200,407.56,True
2025-10-29T00:44:46.421124,8927,Node_waste_management_aj3md,32.36,200,531.35,True
2025-10-29T00:44:46.428591,9585,Node_waste_management_5lhen,24.41,200,311.06,True
2025-10-29T00:46:47.118125,9217,Node_water_quality_p0ybn,20.84,0,121238.54,False
2025-10-29T00:46:47.119683,9474,Node_waste_management_4z34l,28.76,0,121171.86,False
2025-10-29T00:46:47.121731,8769,Node_water_quality_lyafv,20.62,0,121102.33,False
2025-10-29T00:46:47.123012,9392,Node_waste_management_fgg2e,28.13,0,121013.22,False
2025-10-29T00:46:47.123528,8852,Node_water_quality_uf8q4,33.96,0,120996.33,False
2025-10-29T00:46:47.123914,9383,Node_water_quality_rigi5,28.85,0,120986.22,False
2025-10-29T00:46:47.124314,8709,Node_water_quality_5htbb,28.79,0,120974.67,False
2025-10-29T00:46:47.124776,9421,Node_water_quality_x2xnh,31.83,0,120949.55,False
2025-10-29T00:49:24.788011,8861,Node_water_quality_xctsh,33.58,200,157224.75,True
